Column,Era,author,filename,title,,url,
180,Classical,Auctor Incertus Iliadis Latinae,ilias.txt,Ilias Latina,,http://thelatinlibrary.com/ilias.html,
204,Medieval,Auctor Incertus Legendae Maioris Sancti Regis Stephani,legenda.stephani.txt,Legenda Maior Sancti Regis Stephani,,http://thelatinlibrary.com/legenda.stephani.html,
198,Medieval,Auctor Incertus Libri Kalilae et Dimnae,kalila.txt,Liber Kalilae et Dimnae,,http://thelatinlibrary.com/kalila.html,
221,Medieval,Auctor Incertus Magnae Cartae,magnacarta.txt,Magna Carta,,http://thelatinlibrary.com/magnacarta.html,
242,Medieval,Auctor Incertus Mirabiliorum Urbis Romae,mirabilia.txt,Mirabilia Urbis Romae,Giovanni Pico della Mirandola,http://thelatinlibrary.com/mirabilia.html,
243,Medieval,Auctor Incertus Mirabiliorum Urbis Romae,mirabilia1.txt,MAGISTRI GREGORII NARRATIO DE MIRABILIBUS URBIS ROMAE,Giovanni Pico della Mirandola,http://thelatinlibrary.com/mirabilia1.html,
263,Medieval,Auctor Incertus Notitiarum Dignitatum,notitia1.txt,NOTITIA DIGNITATUM IN PARTIBUS OCCIDENTIS,,http://thelatinlibrary.com/notitia1.html,
264,Medieval,Auctor Incertus Notitiarum Dignitatum,notitia2.txt,NOTITIA DIGNITATUM IN PARTIBUS ORIENTIS,,http://thelatinlibrary.com/notitia2.html,
270,Medieval,Auctor Incertus Originis gentis Langobardorum,origo.txt,Origo gentis Langobardorum,,http://thelatinlibrary.com/origo.html,
283,Medieval,Auctor Incertus Passionis Sanctarum Perpetuae et Felicitatis,perp.txt,PASSIO SANCTARUM PERPETUAE ET FELICITATIS,,http://thelatinlibrary.com/perp.html,
285,Classical,Auctor Incertus Pervigilii Veneris,pervig.txt,Pervigilium Veneris,Pervigilium Veneris,http://thelatinlibrary.com/pervig.html,
310,Medieval,Auctor Incertus Plancti DESTRUCTIONIS REGNI HUNGARIAE PER TARTAROS,planctus.txt,PLANCTUS DESTRUCTIONIS REGNI HUNGARIAE PER TARTAROS,,http://thelatinlibrary.com/planctus.html,
337,Medieval,Auctor Incertus Precationis Terrae,prec.terr.txt,Precatio Terrae,,http://thelatinlibrary.com/prec.terr.html,
340,Medieval,Auctor Incertus Professionis contra Sectam Priscilliani,professio.txt,Professio contra Sectam Priscilliani,,http://thelatinlibrary.com/professio.html,
461,Medieval,Auctor Incertus Testamenti Porcelli,testamentum.txt,Testamentum Porcelli,,http://thelatinlibrary.com/testamentum.html,
533,Medieval,Auctor Incertus Waltharii,waltarius1.txt,Waltharius I,,http://thelatinlibrary.com/waltarius1.html,
